Company Name,Industry,City,Address,Website,Phone,Email,Email Status,CEO/Owner Name,Status,Source
The Oceanic,Hospitality / Hotel,Durban,20 John Mcintyre Road Durban,https://www.theoceanic.co.za/,,info@theoceanic.co.za,Guessed - Verify,,New,OpenStreetMap
Manocle Naturals,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Curry Leaf,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Java,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Clothes Line,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Wicked,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Wimpy,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Hang Ten,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Ushaka Trading Co,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Ripcurl,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Kudta,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Cargo Hold,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Wrap-it-up,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Silver Spear Spur,Hospitality / Restaurant,Durban,Durban,https://www.spursteakranches.com/za/restaurant/kwazulu-natal/durban/point/silver-spear-spur,+27 87 092 8310,silverspear@spursteakranch.co.za,Found on listing,,New,OpenStreetMap
Layed Back,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Panarotti's,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Butik Asia,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Just Cruzin,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
The SA Flag,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Sequing,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Emperor's Kitchen,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
LM Prawns & Grill,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Jeep,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Spokes,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Mimmo's,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Adega,Hospitality / Restaurant,Durban,"1 Palm Boulevard Umhlanga Ridge, Durban",https://adega.co.za/,+27 31 584 6311,marketing@adega.co.za,Found on site,,New,OpenStreetMap
Circus Circus,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Gateway To India,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
lunarossa,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Primi Station 4,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Copper Chimney,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
figata,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Tapas on The Block,Hospitality / Restaurant,Durban,7 Aurora Drive,,,,,,New,OpenStreetMap
Jimmy's Killer Prawns,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Protea Umhlanga,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Royal Palm,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Shadows,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Circus,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
City Lodge,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
John Dory's,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Campari,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Just Men,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Kids gear,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Zoot,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Wantashi,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Security Hyper,Retail / Electronics,Durban,,,,,,,New,OpenStreetMap
Fego,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Cacao,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Fashion Exchange,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
B U Couture,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Cafe Duomo,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
reel,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Soviet,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Iron First,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Radhaanis,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Identity,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Govan Mani,Retail / Electronics,Durban,,,,,,,New,OpenStreetMap
Len's,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Naartjie,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
The Space,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Ooh-Lala Boutique,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Ackermans,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
vide e caffe,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Reebok,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Samsung,Retail / Electronics,Durban,,,,,,,New,OpenStreetMap
Brands Unlimited,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Rage,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Cenci,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Via Uno,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Street Gear,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Young Designers Emporium,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Van Den Bergh,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Uzzi,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Home Flair,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Tall Trees,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
De'ma,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Tempur,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Col Couchis,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Gloria Jean's,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Game,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Clicks,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Kauai,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Digital Mall,Retail / Electronics,Durban,,,,,,,New,OpenStreetMap
Wrap it up caffe,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Sherwood,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Checkers Hyper,Retail / Grocery,Durban,Umhlanga Rocks,https://www.checkers.co.za/store-directory-and-leaflets/store-details/40206,+27 31 538 3929,info@checkers.co.za,Guessed - Verify,,New,OpenStreetMap
Holiday Inn Express,Hospitality / Hotel,Durban,2 Ncondo Place Umhlanga,http://www.hiexpress.com,+27 31 5149000,info@hiexpress.com,Guessed - Verify,,New,OpenStreetMap
Bridge City Shopping Centre,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
HI-FI Corporation,Retail / Electronics,Durban,,,,,,,New,OpenStreetMap
Autozone,Automotive / Repair,Durban,,,+27 313371165,,,,New,OpenStreetMap
Dennis Motor Sales CC,Automotive,Durban,5B Nisbett Road,https://dennismotors.co.za/,+27 31 701 1762,info@dennismotors.co.za,Guessed - Verify,,New,OpenStreetMap
Concord Christian Guesthouse,Hospitality / Guest House,Durban,,,,,,,New,OpenStreetMap
Accessories Spares Centre,Retail / Hardware,Durban,Travertine Crescent,,,,,,New,OpenStreetMap
Autostyle Motorsport,Automotive / Repair,Durban,,,,,,,New,OpenStreetMap
International Police Association,Hospitality / Guest House,Durban,,http://www.ipasa.org.za,,info@ipasa.org.za,Guessed - Verify,,New,OpenStreetMap
Midas,Automotive / Repair,Durban,Meridian Drive,,+27 315662900,,,,New,OpenStreetMap
GWM Great Wall Motors,Automotive,Durban,,https://www.gwm.co.za/,,info@gwm.co.za,Guessed - Verify,,New,OpenStreetMap
YWP Pharmacy,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Southway Mall Checkers,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Barons VW,Automotive,Durban,,,,,,,New,OpenStreetMap
Makro,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Ambler McDonald Pharmacy,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Shoprite,Retail / Grocery,Durban,310 Kenyon Howden Road Durban,https://www.shoprite.co.za/store-details/6721,+27 31 452 1250,info@shoprite.co.za,Guessed - Verify,,New,OpenStreetMap
KK Motors,Automotive / Repair,Durban,,,,,,,New,OpenStreetMap
Hotel 64 on Gordon,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Simply Fish,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Mamma Luciana's Trattoria,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Chatsworth Shopping Centre,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Gatti's Ice Cream,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Township Autoparts,Automotive / Repair,Durban,,,,,,,New,OpenStreetMap
GWM,Automotive,Durban,167 Josiah Gumede Road,https://www.gwm.co.za/,,info@gwm.co.za,Guessed - Verify,,New,OpenStreetMap
GWM Service,Automotive / Repair,Durban,167 Josiah Gumede Road,https://www.gwm.co.za/,,info@gwm.co.za,Guessed - Verify,,New,OpenStreetMap
The Square Boutique Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Gateway Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
The Bean Green Coffee Company,Hospitality / Cafe,Durban,,https://www.beangreen.co.za/,,info@beangreen.co.za,Guessed - Verify,,New,OpenStreetMap
Furniture City,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Dis-Chem,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Wetherlys,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Coricraft,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Checkers,Retail / Grocery,Durban,Durban,https://www.checkers.co.za/store-directory-and-leaflets/store-details/1878,+27 31 203 7900,info@checkers.co.za,Guessed - Verify,,New,OpenStreetMap
Woolworths,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Protea Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Cecil Nurse Business Furniture,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Laletsa Lodge,Hospitality / Guest House,Durban,,,,,,,New,OpenStreetMap
Savells,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Geen and Richards,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Ellerines,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Sparspot Pharmacy,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
OK Furnishers,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Cafe Java,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
The Saint James on Venice,Hospitality / Hotel,Durban,100 Venice Road,https://www.stjamesonvenice.co.za/,+27 31 312 9488,reception@stjamesonvenice.co.za,Found on site,,New,OpenStreetMap
Ridgeview Lodge,Hospitality / Hotel,Durban,17 Loudoun Road,https://www.ridgeview.co.za/,+27 31 202 9777,info@ridgeview.co.za,Guessed - Verify,,New,OpenStreetMap
Myeza Traditional Chemist,Medical / Pharmacy,Durban,166A Margaret Mncadi Avenue Durban,,+27 68 120 1938,,,,New,OpenStreetMap
OK Furniture,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
Bayside Hotel & Self Catering,Hospitality / Hotel,Durban,110 Doctor Pixley Kaseme Street Durban,https://www.baysidegroup.co.za/,+2731 332 0727,108weststreet@baysidehotels.co.za,Found on site,,New,OpenStreetMap
Designer Café,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Tudor Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Broadway Pharmacy,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Honeycomb,Hospitality / Guest House,Durban,47,,,,,,New,OpenStreetMap
Marmalade,Hospitality / Hotel,Durban,147 Kenneth Kaunda Road,,,,,,New,OpenStreetMap
Cathy's Place,Hospitality / Guest House,Durban,,,,,,,New,OpenStreetMap
Villa Calla,Hospitality / Guest House,Durban,,,,,,,New,OpenStreetMap
Info-Med,Medical / Pharmacy,Durban,Doctor Pixley Kaseme Street Durban,,,,,,New,OpenStreetMap
Westend Motors,Automotive,Durban,,,,,,,New,OpenStreetMap
Parkview Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
The Top Chef,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Pavilion Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Flamingo Lodge,Hospitality / Guest House,Durban,,,,,,,New,OpenStreetMap
SMG Rocks,Automotive,Durban,,,,,,,New,OpenStreetMap
Veearts,Veterinary,Durban,,,,,,,New,OpenStreetMap
Hillary Pharmacy,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Surf Riders,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Mythai Guesthouse,Hospitality / Hotel,Durban,417A Innes Road Durban,,,,,,New,OpenStreetMap
sports tuckshop,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
royal palm hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Tile Africa,Retail / Hardware,Durban,2 Ilala Avenue Durban,https://www.tileafrica.co.za/,+27 716037775,contactus.online@tileafrica.co.za,Found on site,,New,OpenStreetMap
Blair Atholl Vet,Veterinary,Durban,,,,,,,New,OpenStreetMap
Red Hill Clinic,Medical / Clinic,Durban,"162 Firwood Road Red Hill, Durban",,+27 31 564 1211;+27 31 564 5384;+27 31 322 9786,,,,New,OpenStreetMap
Mohan's Auto Centre,Automotive / Repair,Durban,,,,,,,New,OpenStreetMap
Adams Coffee Bar,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Kensington Pharmacy,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Quarters Hotel(Florida Road),Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Mica Durban North,Retail / Hardware,Durban,,https://www.mica.co.za/store-location/kwazulu-natal/durban-north-mica/,+27 31 563 6766,micadbn1@gmail.com,Found on site,,New,OpenStreetMap
B&B Plumbers,Retail / Hardware,Durban,,,,,,,New,OpenStreetMap
On Tap Durban,Retail / Hardware,Durban,80 Florence Nzama Street,https://www.ontap.co.za/,+27313686161,info@ontap.co.za,Guessed - Verify,,New,OpenStreetMap
Quarters Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Lawries Auto Electrical,Automotive / Repair,Durban,319 E Magwaza Maphalala Street Umbilo,,,,,,New,OpenStreetMap
Pirates Cafe,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Salt & Partners,Accounting,Durban,,,,,,,New,OpenStreetMap
Singh Furniture,Furniture / Retail,Durban,,,,,,,New,OpenStreetMap
JD Plumbing & Hardware,Retail / Hardware,Durban,,,,,,,New,OpenStreetMap
Coastlands Musgrave,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Cars on Ridge,Automotive,Durban,,,,,,,New,OpenStreetMap
Auto Vision,Automotive,Durban,,,,,,,New,OpenStreetMap
Durban Business College,Education,Durban,,,,,,,New,OpenStreetMap
M I Cassim Brokers Inc,Insurance,Durban,,,,,,,New,OpenStreetMap
On The Edge,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
City Lodge Hotel Durban,Hospitality / Hotel,Durban,K.E. Masinga Road,,,,,,New,OpenStreetMap
Albany hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Freight Marine Ship Supply,General Business,Durban,,https://freightmarine.com/,+27 31 4652222,freightmarine@pm.me,Found on site,,New,OpenStreetMap
Cafe Ulundi,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Musgrave Avenue Guesthouse,Hospitality / Guest House,Durban,,,,,,,New,OpenStreetMap
Simply I.T.,IT / Tech,Durban,,http://www.simplyitsa.net/,,info@simplyitsa.net,Found on site,,New,OpenStreetMap
Sparksport Pharmacy,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
Harcourt Lodge,Hospitality / Guest House,Durban,,,,,,,New,OpenStreetMap
Ashburne Vet,Veterinary,Durban,,,,,,,New,OpenStreetMap
Seattle Coffee,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Seattle Coffee Company,Hospitality / Cafe,Durban,,https://www.seattlecoffeecompany.co.za/store/virginia-circle-shopping-centre/,,info@seattlecoffeecompany.co.za,Guessed - Verify,,New,OpenStreetMap
Hilton Garden Inn Umhlanga Arch,Hospitality / Hotel,Durban,1 Ncondo Place Umhlanga,https://www.hilton.com/en/hotels/durgigi-garden-inn-umhlanga-arch/,+27 31 007 0775,durgi_reservations@hilton.com,Found on listing,,New,OpenStreetMap
Afri Transformers,General Business,Durban,,https://afritransformers.com/,,info@afritransformers.com,Found on site,,New,OpenStreetMap
Savoir,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Home Ground,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Marula's Coffee Shop,Hospitality / Cafe,Durban,112 Maryvale Road Westville,https://www.facebook.com/marulascoffee/,+27 31 266 7600,marulas@telkomsa.net,Found on listing,,New,OpenStreetMap
Manuchar SA,Retail / Hardware,Durban,,,,,,,New,OpenStreetMap
Lineage Coffee Westville,Hospitality / Cafe,Durban,14 Church Road Westville,https://www.lineagecoffee.com,+27 31 945 9602,info@lineagecoffee.com,Guessed - Verify,,New,OpenStreetMap
Badgers,Hospitality / Cafe,Durban,,,+27 31 201 2423,,,,New,OpenStreetMap
Empire Cafe,Hospitality / Cafe,Durban,,,+27 87 151 3159,,,,New,OpenStreetMap
ONOMO Hotel Durban,Hospitality / Hotel,Durban,56 K.E. Masinga Road,https://www.onomohotels.com/en/hotel/onomo-hotel-durban/,+27 31 492 3917,reception.durban@onomohotel.com,Found on listing,,New,OpenStreetMap
The Box Cafe,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Gatvol Coffee,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Daily Dose Umhlanga,Hospitality / Cafe,Durban,Cnr Durban View Road & Marine Drive Umhlanga,,+27 72 737 2110,,,,New,OpenStreetMap
Cane Cutters,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Chatsworth animal clinic,Veterinary,Durban,,,+27 31 404 2255; +27 82 928 1996,,,,New,OpenStreetMap
Karak Chapatea,Hospitality / Cafe,Durban,,,+27 78 637 3059,,,,New,OpenStreetMap
Falcon motor spares,Automotive,Durban,,,,,,,New,OpenStreetMap
Alpine Hill Lodge,Hospitality / Hotel,Durban,10 Hoffman Place,,+27 82 940 3602,,,,New,OpenStreetMap
U@119 Lodge,Hospitality / Hotel,Durban,119 Felix Dlamini Road,,+27 82 940 3602,,,,New,OpenStreetMap
HR Services,General Business,Durban,,,,,,,New,OpenStreetMap
Durban Eye & Laser Clinic,Medical / Clinic,Durban,,,,,,,New,OpenStreetMap
Umbilo Vetinary Clinic,Veterinary,Durban,,,,,,,New,OpenStreetMap
uMhlanga Sands Resort,Hospitality / Hotel,Durban,"44 Lagoon Drive uMhlanga Rocks, Durban",https://www.southernsun.com/umhlanga-sands-resort?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=resort_umhlanga-sands-resort,+27 31 561 2323,umhlangasands.reservations@southernsun.com,Found on listing,,New,OpenStreetMap
Coffee Cats Café,Hospitality / Cafe,Durban,2 Willowfield Crescent Durban,https://www.spcadbn.org.za/coffee-cats.php,,boarding@spcadbn.org.za,Found on site,,New,OpenStreetMap
Point-S Pinetown,Automotive / Repair,Durban,34 Henwood Road Pinetown,https://www.point-s.co.za/store-locator/kwa-zulu-natal/point-s-pinetown,+27 31 701 3300,pinetown@point-s.co.za,Found on listing,,New,OpenStreetMap
BRWD Proppa Coffee,Hospitality / Cafe,Durban,21 Lighthouse Road Umhlanga,https://www.instagram.com/brwd.proppa.coffee/,+27 31 140 1199,info@instagram.com,Guessed - Verify,,New,OpenStreetMap
Daily Dose Lagoon Drive,Hospitality / Cafe,Durban,23 Lagoon Drive Umhlanga,https://dailydosecoffeeco.co.za,+27 72 737 2110,info@dailydosecoffeeco.co.za,Found on site,,New,OpenStreetMap
Usizo Lwethu Afrisun Clinic,Medical / Clinic,Durban,,,,,,,New,OpenStreetMap
N2 Trucks,Automotive,Durban,,https://www.n2trucks.co.za/,+27 82 551 9371,info@n2trucks.co.za,Guessed - Verify,,New,OpenStreetMap
BMW Durban South,Automotive,Durban,,,,,,,New,OpenStreetMap
Nü,Hospitality / Cafe,Durban,,https://nu16.goreview.co.za/store-information,+27 31 303 7980,hello@nufood.co.za,Found on site,,New,OpenStreetMap
Rox Coffee,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Heaton Cottage,Hospitality / Guest House,Durban,6 Ernest Whitcutt Road Cowies Hill,https://www.heatoncottage.co.za/,+27312672019,heatoncottage@mweb.co.za,Found on listing,,New,OpenStreetMap
Bootlegger Coffee Company,Hospitality / Cafe,Durban,,https://www.bootlegger.coffee/,,ecom@bootlegger.co.za,Found on site,,New,OpenStreetMap
Supa Quick,Automotive / Repair,Durban,,,,,,,New,OpenStreetMap
Kia,Automotive,Durban,,,,,,,New,OpenStreetMap
Renault,Automotive,Durban,,,,,,,New,OpenStreetMap
FAW Trucks,Automotive,Durban,,,,,,,New,OpenStreetMap
McCarthy Durban,Automotive,Durban,,,,,,,New,OpenStreetMap
Durban Spa,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Beach Hotel,Hospitality / Hotel,Durban,107 O.R. Tambo Parade,,,,,,New,OpenStreetMap
The Balmoral,Hospitality / Hotel,Durban,125 O.R. Tambo Parade Durban,https://www.balmoralhotel.co.za/,+27 31 368 8220,enquiries@balmoralhotel.co.za,Found on listing,,New,OpenStreetMap
Gooderson Tropicana Hotel,Hospitality / Hotel,Durban,85 O.R. Tambo Parade Durban,https://www.tropicanahotel.co.za/,+27 31 337 4222,tropicana@goodersons.co.za,Found on listing,,New,OpenStreetMap
Garden Court Marine Parade,Hospitality / Hotel,Durban,167 O.R. Tambo Parade Durban,https://www.southernsun.com/garden-court-marine-parade,+27 31 337 3341,gcmarineparade.reservations@southernsun.com,Found on listing,,New,OpenStreetMap
The Palace,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
The Edward,Hospitality / Hotel,Durban,"149 OR Tambo Parade South Beach, Durban",https://www.southernsun.com/the-edward?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_the-edward,+27 31 337 3681,Edward.Reservations@southernsun.com,Found on listing,,New,OpenStreetMap
Parade Hotel,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Belmont,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Transnet Engineering,General Business,Durban,311 Solomon Mahlangu Drive Durban,,,,,,New,OpenStreetMap
Garden Court uMhlanga,Hospitality / Hotel,Durban,Corner of Aurora Drive and Centenary Boulevard uMhlanga,https://www.southernsun.com/garden-court-umhlanga?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_garden-court-umhlanga,+27 31 514 5500,gcumhlanga.reservations@southernsun.com,Found on listing,,New,OpenStreetMap
Coastlands Hotel Umhlanga,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Medigate Medical Centre 2,Medical / Clinic,Durban,"Medigate Road Umhlanga Ridge, Durban",,,,,,New,OpenStreetMap
SAPS Academy - Chatsworth,Education,Durban,,,,,,,New,OpenStreetMap
